data,ano,mes,nome_mes,cidade,regiao,latitude,longitude,temp_max,temp_min,temp_media,umidade_pct,chuva_mm,vento_kmh,pressao_hpa
2021-07-01,2021,7,Julho,Brasília,Centro-Oeste,-15.78,-47.93,21.9,11.9,16.9,57.4,105.3,9.1,1009.6
2022-10-01,2022,10,Outubro,Brasília,Centro-Oeste,-15.78,-47.93,20.7,10.4,15.6,74.1,85.6,24.3,1023.3
2020-11-01,2020,11,Novembro,Natal,Nordeste,-5.79,-35.21,23.1,11.5,17.3,53.9,43.75,21.9,1010.7
2024-02-01,2024,2,Fevereiro,Manaus,Norte,-3.1,-60.02,31.1,22.0,26.6,85.6,229.1,21.8,1018.8
2022-08-01,2022,8,Agosto,Florianópolis,Sul,-27.6,-48.55,23.7,11.9,17.8,82.7,110.7,30.9,1011.0
2020-07-01,2020,7,Julho,Maceió,Nordeste,-9.67,-35.74,27.7,21.1,24.4,63.5,182.7,8.1,1012.3
2020-09-01,2020,9,Setembro,Teresina,Nordeste,-5.09,-42.8,24.4,13.3,18.8,53.9,0.0,19.7,1008.9
2023-05-01,2023,5,Maio,São Paulo,Sudeste,-23.55,-46.63,21.2,9.3,15.2,73.7,188.3,24.4,1018.0
2021-07-01,2021,7,Julho,Belém,Norte,-1.45,-48.5,26.1,19.9,23.0,77.3,402.1,7.0,1007.5
2022-03-01,2022,3,Março,Maceió,Nordeste,-9.67,-35.74,30.0,21.2,25.6,69.4,136.9,19.1,1009.8
2022-07-01,2022,7,Julho,Macapá,Norte,0.03,-51.07,26.8,12.9,18.6,77.1,328.2,14.3,1020.7
2020-05-01,2020,5,Maio,Macapá,Norte,0.03,-51.07,29.5,20.4,25.0,90.7,296.2,26.2,1013.8
2020-06-01,2020,6,Junho,Maceió,Nordeste,-9.67,-35.74,29.1,18.4,23.8,65.7,192.9,25.7,1010.8
2022-08-01,2022,8,Agosto,São Luís,Nordeste,-2.53,-44.3,26.7,18.7,22.7,59.5,175.8,27.1,1011.4
2022-02-01,2022,2,Fevereiro,Vitória,Sudeste,-20.32,-40.34,27.8,16.9,22.4,87.3,92.4,27.9,1014.4
2023-12-01,2023,12,Dezembro,Cuiabá,Centro-Oeste,-15.6,-56.1,22.9,14.3,22.4,63.4,45.9,22.8,1008.7
2024-03-01,2024,3,Março,Cuiabá,Centro-Oeste,-15.6,-56.1,28.5,17.6,23.0,66.9,161.4,29.5,1016.3
2020-11-01,2020,11,Novembro,Goiânia,Centro-Oeste,-16.69,-49.26,22.2,10.6,16.4,78.7,80.8,28.3,1015.3
2021-04-01,2021,4,Abril,Florianópolis,Sul,-27.6,-48.55,16.2,4.6,10.4,87.3,86.2,14.6,1011.3
2023-11-01,2023,11,Novembro,Fortaleza,Nordeste,-3.72,-38.54,28.6,19.0,23.8,55.0,46.9,17.2,1006.4
2020-04-01,2020,4,Abril,São Paulo,Sudeste,-23.55,-46.63,22.9,13.3,18.1,74.6,162.6,25.3,1005.4
2023-10-01,2023,10,Outubro,Brasília,Centro-Oeste,-15.78,-47.93,44.5,11.4,15.4,73.4,133.8,11.6,1024.0
2024-02-01,2024,2,Fevereiro,Porto Alegre,Sul,-30.03,-51.23,16.7,5.6,11.1,73.2,98.2,7.2,1018.2
2021-06-01,2021,6,Junho,Vitória,Sudeste,-20.32,-40.34,25.2,15.4,20.3,69.8,126.0,15.3,1014.3
2021-11-01,2021,11,Novembro,Curitiba,Sul,-25.43,-49.27,19.8,10.7,15.2,86.0,110.5,23.0,1010.2
2021-10-01,2021,10,Outubro,Goiânia,Centro-Oeste,-16.69,-49.26,24.2,18.2,21.2,73.3,146.3,18.1,1010.6
2022-11-01,2022,11,Novembro,Goiânia,Centro-Oeste,-16.69,-49.26,22.8,16.2,19.5,71.9,100.6,30.0,1012.6
2024-04-01,2024,4,Abril,Florianópolis,Sul,-27.6,-48.55,16.4,4.5,10.4,86.1,29.9,21.5,1023.1
2023-06-01,2023,6,Junho,Macapá,Norte,0.03,-51.07,26.3,18.8,22.6,85.6,299.0,29.8,1018.1
2020-01-01,2020,1,Janeiro,São Luís,Nordeste,-2.53,-44.3,26.8,16.7,21.8,59.5,123.2,28.5,1016.5
2024-10-01,2024,10,Outubro,Curitiba,Sul,-25.43,-49.27,20.2,8.7,14.4,86.0,76.0,15.9,1019.1
2023-09-01,2023,9,Setembro,Teresina,Nordeste,-5.09,-42.8,27.8,21.4,24.6,52.5,96.1,34.9,1013.9
2024-02-01,2024,2,Fevereiro,Cuiabá,Centro-Oeste,-15.6,-56.1,25.4,17.2,21.3,71.9,125.9,32.5,1020.7
2022-10-01,2022,10,Outubro,São Luís,Nordeste,-2.53,-44.3,24.0,14.7,19.4,57.1,113.4,30.5,1014.9
2021-05-01,2021,5,Maio,Belém,Norte,-1.45,-48.5,25.1,13.6,25.3,79.7,357.4,24.0,1003.8
2021-10-01,2021,10,Outubro,Fortaleza,Nordeste,-3.72,-38.54,23.9,16.1,20.0,61.9,50.7,7.9,1018.2
2023-06-01,2023,6,Junho,Belém,Norte,-1.45,-48.5,28.6,19.0,23.8,72.4,306.8,31.3,1013.8
2023-01-01,2023,1,Janeiro,Vitória,Sudeste,-20.32,-40.34,22.0,14.3,18.2,68.5,80.9,6.9,1014.6
2021-02-01,2021,2,Fevereiro,Maceió,Nordeste,-9.67,-35.74,27.6,18.0,22.8,65.9,89.3,30.2,1016.4
2021-03-01,2021,3,Março,Teresina,Nordeste,-5.09,-42.8,33.5,27.2,30.4,44.1,61.5,14.0,1020.4
2022-10-01,2022,10,Outubro,Belo Horizonte,Sudeste,-19.92,-43.94,18.3,8.8,13.6,75.6,111.4,33.5,1017.4
2022-09-01,2022,9,Setembro,Porto Alegre,Sul,-30.03,-51.23,20.5,11.4,18.3,82.9,110.6,33.3,1011.7
2020-07-01,2020,7,Julho,Brasília,Centro-Oeste,-15.78,-47.93,21.6,12.6,17.1,69.5,127.3,27.8,1013.8
2020-08-01,2020,8,Agosto,Fortaleza,Nordeste,-3.72,-38.54,25.8,18.9,22.4,51.7,114.9,33.1,1015.8
2023-09-01,2023,9,Setembro,Manaus,Norte,-3.1,-60.02,26.6,20.3,23.5,85.9,246.7,23.6,1017.9
2021-06-01,2021,6,Junho,Maceió,Nordeste,-9.67,-35.74,30.8,20.6,25.7,63.0,224.5,32.5,1021.0
2020-04-01,2020,4,Abril,Belém,Norte,-1.45,-48.5,30.5,23.6,27.0,71.7,389.5,6.6,1004.9
2021-06-01,2021,6,Junho,Belo Horizonte,Sudeste,-19.92,-43.94,25.4,18.3,21.8,67.1,226.8,14.4,1016.6
2024-04-01,2024,4,Abril,Manaus,Norte,-3.1,-60.02,29.6,20.5,25.0,88.6,261.4,23.7,1019.7
2020-03-01,2020,3,Março,São Luís,Nordeste,-2.53,-44.3,31.8,23.4,27.6,67.1,127.8,19.3,1016.5
2020-09-01,2020,9,Setembro,São Luís,Nordeste,-2.53,-44.3,23.7,17.7,20.7,58.0,158.6,8.6,1015.6
2024-05-01,2024,5,Maio,Belo Horizonte,Sudeste,-19.92,-43.94,21.2,11.5,16.4,65.0,165.3,24.0,1019.7
2021-07-01,2021,7,Julho,Florianópolis,Sul,-27.6,-48.55,19.9,11.2,15.6,85.7,87.0,12.0,1016.3
2023-07-01,2023,7,Julho,São Luís,Nordeste,-2.53,-44.3,28.6,16.9,22.8,68.8,212.5,16.8,1011.7
2023-04-01,2023,4,Abril,Vitória,Sudeste,-20.32,-40.34,23.3,15.7,19.5,78.9,170.7,11.4,1014.7
2024-04-01,2024,4,Abril,Macapá,Norte,0.03,-51.07,30.9,24.8,27.8,82.55,300.1,24.0,1003.7
2022-02-01,2022,2,Fevereiro,Fortaleza,Nordeste,-3.72,-38.54,28.8,20.8,24.8,53.1,75.2,21.3,1009.2
2020-06-01,2020,6,Junho,Salvador,Nordeste,-12.97,-38.51,29.0,18.3,23.6,66.7,216.3,8.2,1007.4
2024-11-01,2024,11,Novembro,Brasília,Centro-Oeste,-15.78,-47.93,20.2,13.6,16.9,65.9,82.9,14.7,1010.6
2023-07-01,2023,7,Julho,Recife,Nordeste,-8.05,-34.88,27.6,17.4,22.5,65.4,236.8,33.3,1002.8
2020-08-01,2020,8,Agosto,Rio de Janeiro,Sudeste,-22.91,-43.17,22.1,14.3,18.2,78.3,113.0,29.0,1012.6
2021-03-01,2021,3,Março,Rio de Janeiro,Sudeste,-22.91,-43.17,26.0,17.6,21.8,70.2,80.4,28.9,1016.7
2021-03-01,2021,3,Março,Belo Horizonte,Sudeste,-19.92,-43.94,22.5,11.5,17.0,55.9,124.2,5.5,1017.5
2022-07-01,2022,7,Julho,Belo Horizonte,Sudeste,-19.92,-43.94,20.5,14.3,17.4,75.3,123.8,7.0,1015.0
2022-09-01,2022,9,Setembro,Cuiabá,Centro-Oeste,-15.6,-56.1,25.6,17.9,21.8,63.7,167.9,28.8,1015.1
2024-05-01,2024,5,Maio,Vitória,Sudeste,-20.32,-40.34,26.0,16.0,21.0,71.4,184.1,25.5,1024.6
2020-10-01,2020,10,Outubro,Recife,Nordeste,-8.05,-34.88,25.9,19.9,22.9,65.2,197.5,14.1,1007.1
2024-11-01,2024,11,Novembro,Vitória,Sudeste,-20.32,-40.34,23.0,13.1,18.0,73.7,86.7,27.1,1007.8
2023-09-01,2023,9,Setembro,Florianópolis,Sul,-27.6,-48.55,22.9,11.6,17.2,79.6,38.6,6.4,1018.1
2023-09-01,2023,9,Setembro,Recife,Nordeste,-8.05,-34.88,26.0,15.3,20.6,58.4,161.8,12.4,1021.0
2022-11-01,2022,11,Novembro,Porto Alegre,Sul,-30.03,-51.23,22.1,12.3,17.2,73.6,103.2,33.8,1015.9
2022-08-01,2022,8,Agosto,Natal,Nordeste,-5.79,-35.21,23.0,12.5,17.8,63.0,131.4,6.2,1016.1
2022-01-01,2022,1,Janeiro,Curitiba,Sul,-25.43,-49.27,15.6,8.8,12.2,87.3,135.2,13.9,1009.5
